team1,team2,team1_win_rate,team2_win_rate,head_to_head_win_rate,team1_recent_form,team2_recent_form,team1_venue_win_rate,team2_venue_win_rate,team1_avg_runs_last_5,team2_avg_runs_last_5,team1_avg_wicket_last_5,team2_avg_wicket_last_5,avg_first_innings_score,chasing_success_rate,toss_winner,toss_decision,temperature,humidity,rain_probability,venue,pitch_type,win
San Francisco Unicorns,Los Angeles Knight Riders,60.0,60.0,60.0,4,2,60.0,60.0,152.4,154.8,5.2,7.2,179.0,0.0,Los Angeles Knight Riders,Bat,30.9,57.0,1.0,Grand Prairie Stadium,Batting,1
Texas Super Kings,Washington Freedom,30.0,70.0,20.0,2,3,30.0,70.0,152.6,158.0,6.0,6.0,181.0,0.0,Washington Freedom,Bowl,34.7,44.0,40.0,Grand Prairie Stadium,Batting,1
Seattle Orcas,San Francisco Unicorns,40.0,60.0,20.0,2,3,30.0,60.0,151.0,148.6,8.2,5.6,176.0,33.33333333333333,San Francisco Unicorns,Bowl,28.4,60.0,25.0,Grand Prairie Stadium,Batting,1
MI New York,Washington Freedom,50.0,70.0,20.0,3,3,50.0,70.0,145.2,153.8,7.8,5.6,179.0,50.0,Washington Freedom,Bowl,32.0,47.0,55.0,Grand Prairie Stadium,Batting,1
Los Angeles Knight Riders,Texas Super Kings,30.0,60.0,40.0,1,3,30.0,60.0,154.6,164.4,7.2,7.2,181.0,60.0,Los Angeles Knight Riders,Bowl,25.5,80.0,65.0,Grand Prairie Stadium,Batting,0
San Francisco Unicorns,Los Angeles Knight Riders,60.0,60.0,40.0,3,4,71.42857142857143,16.666666666666664,148.8,177.6,6.0,5.8,170.69305555555556,47.5264247008437,San Francisco Unicorns,Bowl,23.4,56.0,1.0,Oakland Coliseum,Batting,1
Washington Freedom,MI New York,70.0,50.0,80.0,4,2,57.14285714285714,33.33333333333333,153.8,156.2,5.8,7.8,187.0,0.0,Washington Freedom,Bowl,16.9,77.0,1.0,Oakland Coliseum,Batting,0
San Francisco Unicorns,Washington Freedom,60.0,70.0,25.0,3,4,71.42857142857143,57.14285714285714,157.8,183.6,6.8,4.2,171.20264756944445,46.04122392894234,Washington Freedom,Bowl,13.4,80.0,25.0,Oakland Coliseum,Balanced,0
MI New York,Texas Super Kings,50.0,30.0,25.0,1,3,33.33333333333333,83.33333333333334,138.2,174.8,7.6,5.8,269.0,0.0,Mi New York,Bowl,12.8,80.0,0.0,Oakland Coliseum,Balanced,1
San Francisco Unicorns,Los Angeles Knight Riders,60.0,60.0,100.0,3,1,71.42857142857143,16.666666666666664,180.4,147.0,7.0,7.4,227.0,0.0,Los Angeles Knight Riders,Bowl,18.5,55.0,0.0,Oakland Coliseum,Balanced,0
Seattle Orcas,Washington Freedom,40.0,70.0,50.0,0,3,33.33333333333333,57.14285714285714,144.2,165.0,7.4,5.2,204.0,25.0,Seattle Orcas,Bat,14.9,72.0,0.0,Oakland Coliseum,Balanced,1
