team1,team2,team1_win_rate,team2_win_rate,head_to_head_win_rate,team1_recent_form,team2_recent_form,team1_venue_win_rate,team2_venue_win_rate,team1_avg_runs_last_5,team2_avg_runs_last_5,team1_avg_wicket_last_5,team2_avg_wicket_last_5,avg_first_innings_score,chasing_success_rate,toss_winner,toss_decision,temperature,humidity,rain_probability,venue,pitch_type,win
MI London,Southern Brave,80.0,50.0,0.0,4,4,100.0,50.0,140.25,138.25,4.25,5.75,134.0,50.0,Southern Brave,Bowl,20.9,59.0,1.0,Lords,Balanced,0
Trent Rockets,Southern Brave,70.0,50.0,33.33333333333333,4,2,70.0,0.0,154.5,127.0,4.5,6.5,147.0,37.5,Southern Brave,Bowl,16.3,83.0,57.0,Trent Bridge,Balanced,0
Manchesters Super Giants,Welsh Fire,20.0,30.0,0.0,1,3,20.0,33.33333333333333,0.0,0.0,0.0,0.0,138.0,77.77777777777779,Manchesters Super Giants,Bowl,18.8,85.0,10.0,Sophia Gardens,Balanced,0
London Spirit,MI London,30.0,80.0,33.33333333333333,1,2,50.0,100.0,123.8,144.2,7.8,5.8,139.0,40.0,London Spirit,Bowl,16.8,87.0,10.0,Lords,Balanced,1
Sunrisers Leeds,Birmingham Phoenix,70.0,40.0,0.0,3,3,60.0,50.0,149.6,133.4,6.0,7.4,160.0,62.5,Sunrisers Leeds,Bowl,18.5,73.0,81.0,Headingley,Balanced,0
Southern Brave,Welsh Fire,50.0,20.0,75.0,2,1,60.0,0.0,128.0,123.8,6.8,6.0,143.0,66.66666666666666,Welsh Fire,Bowl,16.8,79.0,10.0,The Rose Bowl,Balanced,0
Manchesters Super Giants,London Spirit,30.0,30.0,0.0,3,1,30.0,50.0,126.0,137.0,6.666666666666667,7.25,121.0,37.5,Manchesters Super Giants,Bowl,14.0,84.0,10.0,Emirates Old Trafford,Balanced,0
Birmingham Phoenix,Trent Rockets,40.0,70.0,75.0,3,4,70.0,20.0,0.0,0.0,0.0,0.0,161.0,62.5,Birmingham Phoenix,,11.5,92.0,94.0,Edgbaston,Balanced,0
Southern Brave,Sunrisers Leeds,50.0,70.0,50.0,3,3,60.0,66.66666666666666,133.4,149.6,6.4,6.0,143.0,60.0,Sunrisers Leeds,Bowl,14.8,85.0,98.0,The Rose Bowl,Balanced,1
MI London,Welsh Fire,80.0,20.0,0.0,2,1,90.0,0.0,142.2,127.0,6.6,5.8,140.0,55.55555555555556,Welsh Fire,Bat,14.2,84.0,10.0,Kennington Oval,Balanced,1
Manchesters Super Giants,Birmingham Phoenix,30.0,40.0,0.0,3,3,30.0,33.33333333333333,126.0,148.0,6.666666666666667,6.75,123.0,44.44444444444444,Birmingham Phoenix,Bowl,15.5,66.0,49.0,Emirates Old Trafford,Balanced,0
London Spirit,Southern Brave,30.0,50.0,50.0,1,2,50.0,50.0,125.6,135.2,7.8,7.2,138.0,50.0,London Spirit,Bowl,16.5,92.0,87.0,Lords,Balanced,1
